OBJECTID,County,FIPS,Rec_Survey,NCGS_url,ck_date,Shape__Area,Shape__Length,GlobalID
86,Yadkin,197,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,9415393876.81079,452166.535317238,59e43b29-6b06-488e-9253-d948ee2bfc4f
87,Currituck,053,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,12397502173.9009,656431.032055849,a365ff9d-45cd-44e9-8013-5ced517829bc
88,Pasquotank,139,No recent survey data available, ,2011/11/29 00:00:00+00,8116743132.8606,542905.150878591,7fcf7e8f-227e-409a-8fb5-71a0f50efa41
89,Watauga,189,No recent survey data available, ,2011/11/29 00:00:00+00,8735203026.05603,444608.492760764,8be0335a-9f56-4b9d-8776-8d2b869858cf
90,Vance,181,No recent survey data available, ,2011/11/29 00:00:00+00,7491370572.64893,391987.313342881,ee9997f5-87ff-4fdb-91ff-da7b854aff14
91,Northampton,131,No recent survey data available, ,2011/11/29 00:00:00+00,15351125927.917,775923.200828706,3339a546-dee5-416e-b622-0c4884421df1
92,Warren,185,No recent survey data available, ,2011/11/29 00:00:00+00,12388232140.0918,504861.491496153,4e9171d2-b77f-467e-b0dd-b03e81451f73
93,Person,145,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,11275173907.7711,425031.965663074,1178a5c5-7fcf-4dc6-9d17-9f17c1ed2032
94,Caswell,033,Recorded survey data is available. Visit North Carolina Geodetic Survey for information. https://ncgs.state.nc.us,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,11951718877.2601,437282.092828292,f3c46254-3297-44b9-bb43-6a9547db9a9d
95,Rockingham,157,No recent survey data available, ,2011/11/29 00:00:00+00,15821325494.0814,510706.829040202,ea2752f5-17bc-42fe-8a58-e8aebc9960f6
96,Surry,171,No recent survey data available, ,2011/11/29 00:00:00+00,14991263630.3314,575219.788947416,b16703ae-38b8-4e5a-89bc-0df95c91fc07
97,Hertford,091,No recent survey data available, ,2011/11/29 00:00:00+00,10048456087.4653,588862.054850529,288b0028-fa86-4b36-99d4-1b0e40c573f5
98,Stokes,169,No recent survey data available, ,2011/11/29 00:00:00+00,12708995566.2905,453418.519271748,19c14f88-a2b2-4fbe-ac8a-58396a51cbae
99,Ashe,009,No recent survey data available, ,2011/11/29 00:00:00+00,11939188224.4677,520045.398396803,af0b3578-18ca-468a-be2b-dc3958db6c4f
100,Alleghany,005,No recent survey data available, ,2011/11/29 00:00:00+00,6576362290.69714,439166.717184657,93994eb6-f4b3-4fa3-bf6f-5b6a1e34aa43
